runtime,genre,rating,about,votes,gross_earn
153 min,"Drama, Sci-Fi",8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","1,73,045",$1.24M
100 min,"Drama, Mystery",7.1,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,"1,43,041",$6.53M
97 min,"Crime, Drama, Thriller",6.2,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.","1,43,813",$15.03M
84 min,Comedy,5.5,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.","1,47,250",$110.00M
100 min,"Action, Crime, Drama",7.1,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money.","1,38,679",$81.53M
90 min,"Action, Adventure, Thriller",6.7,"A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.","1,60,213",$35.10M
129 min,"Drama, Mystery, Romance",7.4,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.","1,41,210",$33.58M
79 min,"Animation, Action, Adventure",7,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,"1,39,866",$31.74M
93 min,"Crime, Horror, Mystery",5.9,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.","1,50,243",$63.30M
124 min,"Comedy, Drama, Family",7.1,"Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo.","1,43,447",$75.62M
90 min,"Comedy, Crime",6.1,"When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.","1,45,422",$110.33M
93 min,"Action, Adventure, Sci-Fi",5.4,"Æon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.","1,28,419",$25.86M
106 min,"Comedy, Drama, Romance",7,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,"1,30,574",$20.81M
102 min,"Action, Crime, Thriller",6.5,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"1,61,579",$13.76M
96 min,"Comedy, Romance",5.8,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.","1,44,415",$126.29M
152 min,"Biography, Drama, Music",7.7,The story of the life and career of the legendary rhythm and blues musician,"1,47,374",$75.33M
96 min,"Drama, Family, Fantasy",7.2,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,"1,56,110",$82.27M
115 min,"Action, Drama, Thriller",6.8,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,"1,37,181",$35.05M
104 min,"Action, Comedy, Crime",6.2,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.","1,43,496",$78.05M
109 min,"Action, Crime, Drama",6.8,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.","1,46,429",$74.49M
103 min,"Drama, Romance, Sci-Fi",7.1,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.","1,45,737",$2.43M
95 min,"Comedy, Drama, Romance",7.3,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.,"1,64,045",$17.84M
100 min,"Action, Adventure, Sci-Fi",4.3,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,"1,66,310",$56.12M
97 min,"Comedy, Music, Romance",6.9,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.","1,49,959",$80.25M
94 min,"Comedy, War",6.2,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.","1,32,425",$32.42M
133 min,"Biography, Crime, Drama",8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"1,73,824",$25.01M
114 min,"Comedy, Drama, Fantasy",6,A shallow man falls in love with a 300-pound woman because of her inner beauty.,"1,34,229",$70.84M
128 min,"Drama, Thriller",6.9,A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.,"1,30,329",$50.82M
125 min,"Comedy, Drama, Romance",8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","1,80,105",$18.60M
109 min,"Action, Adventure, Drama",5.1,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.","1,31,141",$94.78M
106 min,"Horror, Mystery, Thriller",6.5,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.","1,69,560",$83.59M
110 min,"Comedy, Drama",6.1,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.","1,38,301",$113.72M
94 min,"Crime, Drama, Thriller",5.3,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.","1,42,239",$14.12M
98 min,"Crime, Horror",6.2,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.","1,42,169",$80.57M
108 min,"Comedy, Crime",7.5,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.","1,42,040",$63.49M
100 min,"Drama, Horror",5.8,"A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.","1,40,175",$35.27M
104 min,"Action, Adventure, Family",5.1,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.","1,26,545",$75.03M
87 min,"Comedy, Drama, Romance",8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","1,83,315",$0.02M
84 min,"Adventure, Comedy, Sci-Fi",6.5,"Private Joe Bauers, a decisively average American, is selected as a guinea pig for a top-secret hibernation program but is forgotten, awakening to a future so incredibly moronic he's easily the most intelligent person alive.","1,62,307",$0.44M
117 min,"Comedy, Drama, Romance",7.1,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","1,52,157",$52.70M
100 min,"Action, Adventure, Crime",5.3,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.","1,26,257",$40.69M
101 min,"Action, Adventure, Fantasy",6.2,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.","1,36,148",$43.06M
111 min,"Action, Comedy, Crime",6.2,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.","1,48,455",$91.46M
92 min,"Comedy, Crime, Drama",7.1,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,"1,43,606",$60.06M
101 min,Comedy,5.3,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.","1,54,127",$133.67M
125 min,"Comedy, Drama",7.2,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.","1,28,698",$65.02M
178 min,"Crime, Drama",8,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.","1,48,293",$1.53M
139 min,"Comedy, Family, Fantasy",7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","1,71,248",$102.27M
140 min,"Action, Crime, Drama",7.3,"In a desperate attempt to prove his innocence, a skilled police negotiator accused of corruption and murder takes hostages in a government office to gain the time he needs to find the truth.","1,42,433",$44.48M
130 min,"Action, Adventure, Fantasy",5.8,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.","1,33,727",$31.17M
90 min,"Comedy, Romance",6,A buttoned-up newlywed finds his strictly organized life descend into chaos when he falls in love with an old classmate.,"1,35,565",$88.10M
85 min,Comedy,6.1,An incumbent Representative embroiled in personal scandal faces a no-holds-barred challenge from a naive newcomer funded by two unscrupulous billionaire lobbyist brothers.,"1,31,410",$86.91M
93 min,"Adventure, Comedy, Family",6.4,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,"1,54,125",$130.72M
105 min,"Comedy, Drama",6.6,Four friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,"1,32,683",$63.91M
104 min,"Action, Comedy, Crime",6.4,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.","1,34,089",$82.39M
130 min,"Action, Adventure, Comedy",6.4,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.","1,51,249",$50.02M
134 min,"Biography, Drama, History",7,U.S. Olympic wrestling champions and brothers,"1,42,586",$12.10M
114 min,"Action, Adventure, Fantasy",6.2,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.","1,38,604",$65.19M
86 min,"Animation, Adventure, Comedy",6.8,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,"1,40,038",$154.53M
105 min,"Crime, Thriller",8.2,A former tennis star arranges the murder of his adulterous wife.,"1,74,468",$0.01M
113 min,"Adventure, Family, Fantasy",6.3,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.","1,53,710",$104.39M
124 min,"Animation, Action, Drama",8,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.","1,84,086",$0.55M
101 min,"Comedy, Drama, Romance",7.1,A clinically-depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,"1,43,098",$6.35M
97 min,Comedy,7.5,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,"1,86,359",$71.32M
116 min,"Comedy, Crime, Drama",7.3,A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,"1,31,383",$36.91M
107 min,"Drama, Romance",7,"After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.","1,52,339",$13.84M
106 min,"Crime, Drama, Thriller",7,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.","1,51,890",$10.72M
98 min,"Action, Horror, Sci-Fi",6.4,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.","1,28,908",$30.10M
91 min,"Animation, Adventure, Comedy",6.1,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.","1,61,015",$126.63M
116 min,"Action, Crime, Thriller",6.4,"When his mentor is taken captive by a disgraced Arab sheik, a killer-for-hire is forced into action. His mission: kill three members of Britain's elite Special Air Service responsible for his sons' deaths.","1,29,600",$25.12M
109 min,"Biography, Crime, Drama",7.3,Based on the life of,"1,51,043",$34.47M
101 min,"Horror, Mystery",5.8,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,"1,45,629",$72.59M
93 min,Comedy,6.4,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.","1,32,364",$36.32M
114 min,"Horror, Thriller",7.3,A family's home is haunted by a host of demonic ghosts.,"1,60,677",$76.61M
108 min,"Action, Horror, Sci-Fi",6.3,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.","1,64,809",$30.67M
95 min,"Drama, Romance",7.1,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","1,53,476",$6.85M
89 min,Comedy,6.3,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.","1,44,147",$25.59M
82 min,"Comedy, Music",7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","1,39,298",$4.74M
138 min,Drama,7.1,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.,"1,73,463",$16.38M
93 min,"Comedy, Family",7.9,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.","1,47,110",$20.61M
131 min,"Action, Adventure, Drama",7.7,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.","1,37,782",$54.23M
95 min,"Action, Horror, Sci-Fi",5.3,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,"1,42,405",$42.35M
123 min,"Crime, Drama, Mystery",6.5,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.","1,33,244",$36.66M
131 min,"Action, Crime, Drama",6.4,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,"1,30,063",$47.38M
96 min,"Comedy, Drama, Romance",7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"1,39,889",$45.70M
109 min,"Comedy, Romance",6,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.","1,40,617",$83.91M
74 min,"Animation, Family, Fantasy",7.3,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.","1,59,181",$85.00M
108 min,"Drama, Mystery, Romance",6.3,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,"1,48,726",$80.01M
111 min,"Comedy, Horror, Mystery",6.2,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.","1,48,234",$38.18M
80 min,"Horror, Mystery, Thriller",6.3,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.,"1,45,376",$33.58M
102 min,"Comedy, Sci-Fi",5.7,Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,"1,27,803",$35.35M
134 min,"Comedy, Drama, Romance",6.2,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.","1,39,166",$67.54M
115 min,"Crime, Drama, Thriller",7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.","1,35,033",$5.08M
96 min,"Action, Adventure, Sci-Fi",5.9,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.","1,24,724",$56.68M
124 min,"Comedy, Drama, Fantasy",7.5,"Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world.","1,29,351",$40.57M
123 min,"Action, Adventure, Fantasy",6.7,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","2,62,198",$47.37M
105 min,"Adventure, Drama, Family",6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","1,76,150",$201.15M
121 min,Drama,8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","1,58,708",
98 min,"Crime, Drama",8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"1,71,174",$0.31M
105 min,"Comedy, Romance",5.9,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.","1,25,914",$45.06M
137 min,"Action, Biography, Drama",7.2,"After a near-fatal plane crash in WWII, Olympian","1,66,818",$115.64M
138 min,"Action, Drama, History",7.1,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.","1,41,510",$78.12M
91 min,"Animation, Adventure, Comedy",6.4,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.","1,46,434",$128.20M
116 min,Comedy,7.5,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,"1,50,644",$90.40M
91 min,"Animation, Drama, Family",7,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.","1,56,365",$100.14M
137 min,"Biography, Drama, Romance",6.5,"J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.","1,28,590",$37.31M
93 min,"Horror, Thriller",5.8,"Six years after students cheated death, another teen has a premonition she and her friends will be involved in an accident. When the vision proves true, the student and survivors deal with the repercussions of cheating the Grim Reaper.","1,41,564",$54.10M
117 min,"Action, Adventure, Fantasy",5.5,"Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.","1,38,395",$65.66M
100 min,"Comedy, Horror, Musical",7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,"1,49,774",$139.88M
88 min,"Crime, Drama, Mystery",8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","1,67,236",$0.10M
101 min,"Comedy, Sci-Fi",6.1,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.","1,28,989",$38.35M
165 min,"Adventure, Drama, Romance",6.6,"Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes.","1,24,722",$49.55M
106 min,"Comedy, Drama, Romance",5.8,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.","1,32,586",$118.70M
110 min,"Drama, Romance",7.5,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.","1,31,622",$41.68M
118 min,"Comedy, Drama, History",6.1,An unlikely World War II platoon is tasked to rescue art masterpieces from Nazi thieves and return them to their owners.,"1,31,839",$78.03M
106 min,"Comedy, Drama",7,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.","1,42,336",$9.19M
109 min,"Action, Crime, Drama",6.4,"To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.","1,22,574",$66.53M
92 min,"Action, Adventure, Fantasy",5.5,"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.","1,38,204",$91.05M
95 min,"Comedy, Drama, Romance",6.6,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,"1,31,637",$241.44M
122 min,"Biography, Drama, History",7.8,,"1,34,476",$26.83M
124 min,"Action, Crime, Drama",6.8,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,"1,27,895",$71.07M
112 min,"Action, Horror, Sci-Fi",5.8,"A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.","1,31,328",$73.21M
104 min,"Comedy, Romance",6.4,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","1,37,308",$31.58M
107 min,"Action, Adventure, Sci-Fi",6.2,"After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen.","1,36,447",$36.20M
102 min,"Action, Adventure, History",6.6,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.","1,24,481",$32.70M
110 min,"Action, Drama, Thriller",7,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,"1,25,568",$47.54M
120 min,"Drama, Horror, Thriller",7.6,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.","1,51,737",$3.19M
185 min,"Adventure, Drama, War",8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"1,66,176",
86 min,"Adventure, Comedy, Drama",6.9,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,"1,25,833",$4.01M
135 min,"Action, Adventure, Drama",7.1,"The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.","1,23,497",$33.60M
130 min,"Adventure, Crime, Drama",7.5,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.","1,53,751",$45.36M
125 min,"Adventure, Comedy, Drama",5.9,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,"1,41,036",$128.00M
106 min,"Animation, Adventure, Comedy",6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"1,86,777",$191.45M
146 min,"Comedy, Drama",6.3,"When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship causes him to take a relatively green performer under his wing as his opening act.","1,19,433",$51.86M
106 min,"Action, Adventure, Comedy",4.9,The Angels investigate a series of murders which occur after the theft of a witness protection profile database.,"1,27,838",$100.83M
118 min,"Biography, Comedy, Drama",7.4,The life and career of legendary comedian,"1,30,916",$34.58M
108 min,"Crime, Drama, Thriller",8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","1,54,265",$9.60M
94 min,"Comedy, Crime",7.3,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.","1,38,790",$22.85M
118 min,"Comedy, Romance",8,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,"1,37,944",
114 min,"Biography, Crime, Drama",7.3,"In 1959,","1,33,103",$28.75M
75 min,"Animation, Adventure, Family",7.2,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","1,47,899",$51.60M
123 min,"Action, Mystery, Sci-Fi",5.9,A man meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,"1,22,508",$34.60M
100 min,"Action, Adventure, Comedy",5.8,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.","1,18,794",$168.27M
102 min,"Adventure, Drama, Family",7.4,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,"1,43,596",$20.16M
149 min,"Crime, Drama, Thriller",7.4,"In Clanton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.","1,58,986",$108.77M
99 min,"Action, Comedy, Fantasy",7.7,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.","1,38,807",$17.11M
104 min,"Drama, Mystery",7.5,A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,"1,29,235",$33.42M
145 min,"Comedy, Drama, Romance",5.6,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,"1,22,178",$152.65M
101 min,"Crime, Drama",7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","1,22,091",$0.33M
125 min,"Animation, Adventure, Family",8,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"1,65,080",
104 min,"Comedy, Drama, Music",7.4,"A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.","1,55,870",$16.17M
94 min,"Comedy, Romance",7,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.","1,22,543",$2.12M
105 min,"Action, Adventure, Sci-Fi",5.9,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.","1,33,726",$73.65M
117 min,"Crime, Mystery, Thriller",8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","1,56,810",$0.03M
105 min,"Action, Drama, Thriller",6.2,"Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.","1,31,714",$50.58M
121 min,"Action, Crime, Thriller",6.7,"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.","1,28,110",$136.49M
116 min,"Crime, Drama, Thriller",7,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,"1,33,770",$71.76M
109 min,"Comedy, Crime",5.7,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,"1,44,546",$70.83M
117 min,"Comedy, Drama, Musical",6.7,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,"1,30,079",$118.87M
131 min,"Drama, War",7.5,"While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.","1,35,238",$21.49M
116 min,"Action, Adventure, Fantasy",7.1,"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".","1,34,821",$5.90M
116 min,"Horror, Mystery",5.6,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.","1,42,235",$89.14M
118 min,"Action, Adventure, Comedy",5.9,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,"1,21,201",$37.92M
130 min,"Drama, Horror, Mystery",6.6,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,"1,25,868",$155.46M
110 min,"Drama, Music",7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,"1,34,648",$22.00M
121 min,"Biography, Comedy, Drama",7.3,"In 1965, an unorthodox and irreverent DJ named","1,40,420",$123.92M
85 min,"Animation, Adventure, Comedy",7.5,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","1,35,201",$56.11M
