runtime,genre,rating,about,votes,gross_earn
92 min,"Action, Crime, Drama",5.6,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing.","55,803",$0.00M
103 min,"Adventure, Comedy, Drama",7.4,"A transgender woman takes an unexpected journey when she learns that she mothered a son, now a teenage runaway hustling on the streets of New York.","41,389",$9.02M
107 min,"Comedy, Family, Music",5.6,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,"53,911",$57.32M
100 min,"Drama, Mystery",6.7,"The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who shows up to help settle his affairs.","44,915",$7.52M
102 min,"Drama, Romance, Sci-Fi",6.3,"During a cryogenics test, a pilot frozen in 1939 awakes in 1992 but time is running out, as his body starts to age rapidly.","47,597",$55.96M
108 min,"Comedy, Drama, Romance",6.5,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","46,336",$46.15M
128 min,"Crime, Drama, Mystery",7.3,"In December 1935, when his transcontinental luxury train is stranded by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before, with a multitude of suspects.","62,253",$0.07M
91 min,"Comedy, Horror, Sci-Fi",6.5,The population of a small town disappears and is replaced by aliens that chase human flesh for their intergalactic fast-food chain.,"47,007",
98 min,"Action, Adventure, Comedy",6.7,"Nick's wife's in bed with his boss. He later gets a gun to his head by a carjacker but steps on the gas pedal. They end up friends after adventures together - holdups, burglary, reckless driving, revenge etc. Twists follow.","46,686",$44.46M
139 min,"Drama, Romance",7.2,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.","59,965",$32.20M
104 min,"Comedy, Drama, Romance",6.2,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,"45,458",$42.07M
107 min,"Comedy, Drama, Romance",6.1,"Two best friends decide to have a child together while keeping their relationship platonic, so they can avoid the toll kids can take on romantic relationships.","42,408",$7.25M
97 min,"Action, Sport, Thriller",6.4,Kurt Sloane must learn the ancient kick boxing art of Muay Thai in order to avenge his brother.,"55,802",$14.70M
107 min,"Comedy, Crime, Drama",7.7,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.","51,605",$1.44M
99 min,"Comedy, Drama, Romance",6.6,"A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston.","49,953",$20.98M
82 min,"Comedy, Fantasy, Romance",7.7,"In 1935 New Jersey, a movie character walks off the screen and into the real world.","51,617",$10.63M
129 min,"Drama, Romance",6.9,A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.,"53,942",$36.14M
98 min,"Animation, Adventure, Comedy",7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.","66,011",
98 min,"Comedy, Drama, Romance",6.3,"Sally's parents' marriage breaks up when her father undergoes a mid-life crisis and impulsively weds a prostitute. Meanwhile, Sally's own marriage also begins to disintegrate.","45,728",$3.25M
88 min,"Animation, Adventure, Comedy",6.7,The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.,"54,495",$26.48M
136 min,"Drama, Sport",6.9,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,"48,170",$21.55M
129 min,"Adventure, History, War",7.8,"Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.","48,962",
93 min,Horror,5.6,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.","55,840",$49.37M
186 min,"Action, Drama, Mystery",7.3,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,"61,077",$2.43M
92 min,"Comedy, Drama",5.7,A funeral ceremony turns into a debacle of exposed family secrets and misplaced bodies.,"50,105",$42.74M
82 min,"Action, Adventure, Horror",6.1,"A man who escapes from the vicious grips of the serial killer known as ""The Collector"" is then forced to help rescue an innocent girl from the killer's booby-trapped lair.","49,884",$12.84M
82 min,"Adventure, Comedy, Family",4,Two bored children have their lives turned upside down when a talking cat comes to visit them.,"82,883",$101.15M
99 min,"Comedy, Drama, Fantasy",5.8,"A cobbler, bored of his everyday life, stumbles upon a magical heirloom that allows him to become other people and see the world in a different way.","56,322",
