director,stars
Alan Parker,"('Brad Davis',), ('Irene Miracle',), ('Bo Hopkins',), ('Paolo Bonacelli',)"
Ryan Coogler,"('Michael B. Jordan',), ('Melonie Diaz',), ('Octavia Spencer',), ('Kevin Durand',)"
Leigh Whannell,"('Dermot Mulroney',), ('Stefanie Scott',), ('Angus Sampson',), ('Leigh Whannell',)"
John Ford,"('James Stewart',), ('John Wayne',), ('Vera Miles',), ('Lee Marvin',)"
James Ward Byrkit,"('Emily Baldoni',), ('Maury Sterling',), ('Nicholas Brendon',), ('Elizabeth Gracen',)"
Nima Nourizadeh,"('Jesse Eisenberg',), ('Kristen Stewart',), ('Connie Britton',), ('John Leguizamo',)"
Garry Marshall,"('Anne Hathaway',), ('Callum Blue',), ('Julie Andrews',), ('Hector Elizondo',)"
Kevin Macdonald,"('Channing Tatum',), ('Jamie Bell',), ('Donald Sutherland',), ('István Göz',)"
Ivan Reitman,"('Arnold Schwarzenegger',), ('Danny DeVito',), ('Emma Thompson',), ('Frank Langella',)"
RZA,"('Russell Crowe',), ('Cung Le',), ('Lucy Liu',), ('RZA',)"
Michael Haneke,"('Daniel Auteuil',), ('Juliette Binoche',), ('Maurice Bénichou',), ('Annie Girardot',)"
John Badham,"('John Travolta',), ('Karen Lynn Gorney',), ('Barry Miller',), ('Joseph Cali',)"
Clyde Bruckman,"('Buster Keaton',), ('Buster Keaton',), ('Marion Mack',), ('Glen Cavender',)"
Park Chan-wook,"('Nam-mi Kang',), ('Jeong-nam Choi',), ('Hye-Sook Go',), ('Bok-hwa Baek',)"
John Landis,"('Steve Martin',), ('Chevy Chase',), ('Martin Short',), ('Alfonso Arau',)"
Robert Redford,"('Ralph Fiennes',), ('John Turturro',), ('Rob Morrow',), ('Paul Scofield',)"
Lenny Abrahamson,"('Michael Fassbender',), ('Domhnall Gleeson',), ('Maggie Gyllenhaal',), ('Moira Brooker',)"
John Dahl,"('Steve Zahn',), ('Paul Walker',), ('Leelee Sobieski',), ('Jessica Bowman',)"
Anurag Basu,"('Ranbir Kapoor',), ('Priyanka Chopra Jonas',), (""Ileana D'Cruz"",), ('Saurabh Shukla',)"
Kevin Smith,"('Michael Parks',), ('Melissa Leo',), ('John Goodman',), ('Michael Angarano',)"
Sean Anders,"('Will Ferrell',), ('Mark Wahlberg',), ('Linda Cardellini',), ('Thomas Haden Church',)"
Troy Duffy,"('Sean Patrick Flanery',), ('Norman Reedus',), ('Billy Connolly',), ('Clifton Collins Jr.',)"
Russell Crowe,"('Russell Crowe',), ('Olga Kurylenko',), ('Jai Courtney',), ('Isabel Lucas',)"
Hiromasa Yonebayashi,"('Amy Poehler',), ('Will Arnett',), ('Mirai Shida',), ('Ryûnosuke Kamiki',)"
Jeremy Garelick,"('Kevin Hart',), ('Josh Gad',), ('Kaley Cuoco',), ('Affion Crockett',)"
Rob Letterman,"('Jack Black',), ('Emily Blunt',), ('Jason Segel',), ('Amanda Peet',)"
Neil LaBute,"('Nicolas Cage',), ('Ellen Burstyn',), ('Leelee Sobieski',), ('Kate Beahan',)"
Chris Nahon,"('Jet Li',), ('Bridget Fonda',), ('Tchéky Karyo',), ('Ric Young',)"
Steven E. de Souza,"('Jean-Claude Van Damme',), ('Raul Julia',), ('Ming-Na Wen',), ('Damian Chapa',)"
Rob Cohen,"('Sylvester Stallone',), ('Amy Brenneman',), ('Viggo Mortensen',), ('Dan Hedaya',)"
Gavin O'Connor,"('Edward Norton',), ('Colin Farrell',), ('Noah Emmerich',), ('Jon Voight',)"
Richard Donner,"('Paul Walker',), ('Gerard Butler',), ('Billy Connolly',), (""Frances O'Connor"",)"
Martin Scorsese,"('Nicolas Cage',), ('Patricia Arquette',), ('John Goodman',), ('Ving Rhames',)"
Kevin Bray,"('Dwayne Johnson',), ('Ashley Scott',), ('Johnny Knoxville',), ('Michael Bowen',)"
Walter Hill,"('Nick Nolte',), ('Eddie Murphy',), (""Annette O'Toole"",), ('Frank McRae',)"
Marc Forster,"('Gerard Butler',), ('Michelle Monaghan',), ('Michael Shannon',), ('Kathy Baker',)"
Brian Robbins,"('Eddie Murphy',), ('Thandiwe Newton',), ('Terry Crews',), ('Clifton Powell',)"
Michael Haneke,"('Christian Friedel',), ('Ernst Jacobi',), ('Leonie Benesch',), ('Ulrich Tukur',)"
Gil Kenan,"('Saoirse Ronan',), ('Toby Jones',), ('Bill Murray',), ('David Ryall',)"
Antoine Fuqua,"('Richard Gere',), ('Don Cheadle',), ('Ethan Hawke',), ('Wesley Snipes',)"
Steven Soderbergh,"('Matt Damon',), ('Tony Hale',), ('Patton Oswalt',), ('Lucas McHugh Carroll',)"
Stephen Frears,"('Glenn Close',), ('John Malkovich',), ('Michelle Pfeiffer',), ('Swoosie Kurtz',)"
Peter Howitt,"('Gwyneth Paltrow',), ('John Hannah',), ('John Lynch',), ('Jeanne Tripplehorn',)"
Mark A.Z. Dippé,"('Michael Jai White',), ('John Leguizamo',), ('Martin Sheen',), ('Theresa Randle',)"
Robert Aldrich,"('Lee Marvin',), ('Ernest Borgnine',), ('Charles Bronson',), ('John Cassavetes',)"
Lasse Hallström,"('Helen Mirren',), ('Om Puri',), ('Manish Dayal',), ('Charlotte Le Bon',)"
Alejandro Amenábar,"('Eduardo Noriega',), ('Penélope Cruz',), ('Chete Lera',), ('Fele Martínez',)"
Bradley Parker,"('Jesse McCartney',), ('Jonathan Sadowski',), ('Olivia Taylor Dudley',), ('Nathan Phillips',)"
Adam Green,"('Shawn Ashmore',), ('Emma Bell',), ('Kevin Zegers',), ('Ed Ackerman',)"
Woody Allen,"('Mia Farrow',), ('Dianne Wiest',), ('Michael Caine',), ('Barbara Hershey',)"
Daniel Alfredson,"('Michael Nyqvist',), ('Noomi Rapace',), ('Lena Endre',), ('Annika Hallin',)"
Jake Schreier,"('Peter Sarsgaard',), ('Frank Langella',), ('Susan Sarandon',), ('Liv Tyler',)"
Richard LaGravenese,"('Hilary Swank',), ('Imelda Staunton',), ('Patrick Dempsey',), ('Scott Glenn',)"
Alejandro Amenábar,"('Rachel Weisz',), ('Max Minghella',), ('Oscar Isaac',), ('Ashraf Barhom',)"
John G. Avildsen,"('Pat Morita',), ('Ralph Macchio',), ('Pat E. Johnson',), ('Bruce Malmuth',)"
Tom Dey,"('Robert De Niro',), ('Eddie Murphy',), ('Rene Russo',), ('Rachael Harris',)"
Jody Hill,"('Seth Rogen',), ('Anna Faris',), ('Ray Liotta',), ('Michael Peña',)"
Craig Brewer,"('Christina Ricci',), ('Samuel L. Jackson',), ('Justin Timberlake',), ('S. Epatha Merkerson',)"
Sydney Pollack,"('Meryl Streep',), ('Robert Redford',), ('Klaus Maria Brandauer',), ('Michael Kitchen',)"
Billy Ray,"('Chris Cooper',), ('Ryan Phillippe',), ('Dennis Haysbert',), ('Laura Linney',)"
Don Bluth,"('Gary Goldman',), ('Matt Damon',), ('Drew Barrymore',), ('Bill Pullman',)"
Christophe Gans,"('Samuel Le Bihan',), ('Mark Dacascos',), ('Jérémie Renier',), ('Vincent Cassel',)"
Phillip Noyce,"('Val Kilmer',), ('Elisabeth Shue',), ('Rade Serbedzija',), ('Valeriy Nikolaev',)"
Brad Furman,"('Ben Affleck',), ('Justin Timberlake',), ('Gemma Arterton',), ('Anthony Mackie',)"
Sebastián Cordero,"('Sharlto Copley',), ('Michael Nyqvist',), ('Christian Camargo',), ('Embeth Davidtz',)"
Robert Rodriguez,"('Carlos Gallardo',), ('Consuelo Gómez',), ('Jaime de Hoyos',), ('Peter Marquardt',)"
Sam Raimi,"('Cate Blanchett',), ('Katie Holmes',), ('Keanu Reeves',), ('Giovanni Ribisi',)"
Brad Silberling,"('Will Ferrell',), ('Danny McBride',), ('Anna Friel',), ('Jorma Taccone',)"
Craig Mazin,"('Drake Bell',), ('Leslie Nielsen',), ('Sara Paxton',), ('Christopher McDonald',)"
Andrew Niccol,"('Al Pacino',), ('Catherine Keener',), ('Rachel Roberts',), ('Benjamin Salisbury',)"
Josef Rusnak,"('Craig Bierko',), ('Gretchen Mol',), ('Armin Mueller-Stahl',), (""Vincent D'Onofrio"",)"
Martin Scorsese,"('Robert De Niro',), ('Jerry Lewis',), ('Diahnne Abbott',), ('Sandra Bernhard',)"
Jean-Luc Godard,"('Jean-Paul Belmondo',), ('Jean Seberg',), ('Daniel Boulanger',), ('Henri-Jacques Huet',)"
Richard Loncraine,"('Kirsten Dunst',), ('Paul Bettany',), ('Jon Favreau',), ('Sam Neill',)"
Jon Avnet,"('Kathy Bates',), ('Jessica Tandy',), ('Mary Stuart Masterson',), ('Mary-Louise Parker',)"
Curtis Hanson,"('Toni Collette',), ('Cameron Diaz',), ('Shirley MacLaine',), ('Anson Mount',)"
Hal Ashby,"('Peter Sellers',), ('Shirley MacLaine',), ('Melvyn Douglas',), ('Jack Warden',)"
Lasse Hallström,"('Ewan McGregor',), ('Emily Blunt',), ('Amr Waked',), ('Kristin Scott Thomas',)"
Steven Knight,"('Jason Statham',), ('Agata Buzek',), ('Vicky McClure',), ('Benedict Wong',)"
Ericson Core,"('Mark Wahlberg',), ('Greg Kinnear',), ('Elizabeth Banks',), ('Kevin Conway',)"
Herbert Ross,"('Kevin Bacon',), ('Lori Singer',), ('John Lithgow',), ('Dianne Wiest',)"
Anton Corbijn,"('Sam Riley',), ('Samantha Morton',), ('Craig Parkinson',), ('Alexandra Maria Lara',)"
Lee Tamahori,"('Ice Cube',), ('Samuel L. Jackson',), ('Willem Dafoe',), ('Scott Speedman',)"
Jeannot Szwarc,"('Roy Scheider',), ('Lorraine Gary',), ('Murray Hamilton',), ('Joseph Mascolo',)"
Neil Jordan,"('Jodie Foster',), ('Terrence Howard',), ('Naveen Andrews',), ('Nicky Katt',)"
John Pasquin,"('Sandra Bullock',), ('Regina King',), ('William Shatner',), ('Enrique Murciano',)"
Henry Joost,"('Ariel Schulman',), ('Stephen Dunham',), ('Katie Featherston',), ('Matt Shively',)"
Oliver Parker,"('Ben Barnes',), ('Colin Firth',), ('Rebecca Hall',), ('John Hollingworth',)"
Joe Dante,"('Tom Hanks',), ('Bruce Dern',), ('Carrie Fisher',), ('Corey Feldman',)"
Ari Sandel,"('Mae Whitman',), ('Bella Thorne',), ('Robbie Amell',), ('Allison Janney',)"
Andrew Stanton,"('Angus MacLane',), ('Ellen DeGeneres',), ('Albert Brooks',), (""Ed O'Neill"",)"
Spike Lee,"('Josh Brolin',), ('Elizabeth Olsen',), ('Samuel L. Jackson',), ('Sharlto Copley',)"
Simon Wincer,"('Jason James Richter',), ('Lori Petty',), ('Michael Madsen',), ('Jayne Atkinson',)"
Mark Steven Johnson,"('Kristen Bell',), ('Josh Duhamel',), ('Anjelica Huston',), ('Danny DeVito',)"
Danny Cannon,"('Michael Winterbottom',), ('Kuno Becker',), ('Alessandro Nivola',), ('Anna Friel',)"
Steve McQueen,"('Stuart Graham',), ('Laine Megaw',), ('Brian Milligan',), ('Liam McMahon',)"
Bernard Rose,"('Virginia Madsen',), ('Xander Berkeley',), ('Tony Todd',), ('Kasi Lemmons',)"
Rick Rosenthal,"('Jamie Lee Curtis',), ('Donald Pleasence',), ('Charles Cyphers',), ('Jeffrey Kramer',)"
Scott Frank,"('Joseph Gordon-Levitt',), ('Jeff Daniels',), ('Matthew Goode',), ('Isla Fisher',)"
Liev Schreiber,"('Elijah Wood',), ('Eugene Hutz',), ('Boris Lyoskin',), ('Jonathan Safran Foer',)"
Sam Raimi,"('Bill Paxton',), ('Billy Bob Thornton',), ('Bridget Fonda',), ('Brent Briscoe',)"
Gary Fleder,"('Morgan Freeman',), ('Ashley Judd',), ('Cary Elwes',), ('Alex McArthur',)"
Hideo Nakata,"('Nanako Matsushima',), ('Miki Nakatani',), ('Yûko Takeuchi',), ('Hitomi Satô',)"
Takashi Miike,"('Kôji Yakusho',), ('Takayuki Yamada',), ('Yûsuke Iseya',), ('Ikki Sawamura',)"
Nanette Burstein,"('Drew Barrymore',), ('Justin Long',), ('Ron Livingston',), ('Charlie Day',)"
Mark Palansky,"('Christina Ricci',), ('James McAvoy',), ('Reese Witherspoon',), ('Richard E. Grant',)"
Andrzej Sekula,"('Kari Matchett',), ('Geraint Wyn Davies',), ('Grace Lynn Kung',), ('Matthew Ferguson',)"
Frank Oz,"('Steve Martin',), ('Michael Caine',), ('Glenne Headly',), ('Anton Rodgers',)"
Aaron Seltzer,"('Jason Friedberg',), ('Alyson Hannigan',), ('Adam Campbell',), ('Fred Willard',)"
Frank Marshall,"('Jeff Daniels',), ('Julian Sands',), ('John Goodman',), ('Harley Jane Kozak',)"
Alex Proyas,"('Brenton Thwaites',), ('Nikolaj Coster-Waldau',), ('Gerard Butler',), ('Chadwick Boseman',)"
Malcolm D. Lee,"('David Zucker',), ('Simon Rex',), ('Ashley Tisdale',), ('Charlie Sheen',)"
Tom Hanks,"('Tom Hanks',), ('Liv Tyler',), ('Charlize Theron',), ('Tom Everett Scott',)"
George Cukor,"('Cary Grant',), ('Katharine Hepburn',), ('James Stewart',), ('Ruth Hussey',)"
Steven Brill,"('Owen Wilson',), ('Josh Peck',), ('Alex Frost',), ('Nate Hartley',)"
Ed Harris,"('Ed Harris',), ('Viggo Mortensen',), ('Renée Zellweger',), ('Jeremy Irons',)"
John Carpenter,"('Keith Gordon',), ('John Stockwell',), ('Alexandra Paul',), ('Robert Prosky',)"
Richard Loncraine,"('Harrison Ford',), ('Virginia Madsen',), ('Paul Bettany',), ('Carly Schroeder',)"
Peter Jackson,"('Melanie Lynskey',), ('Kate Winslet',), ('Sarah Peirse',), ('Diana Kent',)"
Luis Llosa,"('Sylvester Stallone',), ('Sharon Stone',), ('James Woods',), ('Rod Steiger',)"
Randal Kleiser,"('Brooke Shields',), ('Christopher Atkins',), ('Leo McKern',), ('William Daniels',)"
Frank Oz,"('Bill Murray',), ('Richard Dreyfuss',), ('Julie Hagerty',), ('Charlie Korsmo',)"
Clint Eastwood,"('Clint Eastwood',), ('Sondra Locke',), ('Chief Dan George',), ('Bill McKinney',)"
Stanley Donen,"('Cary Grant',), ('Audrey Hepburn',), ('Walter Matthau',), ('James Coburn',)"
Jim Sheridan,"('Daniel Day-Lewis',), ('Brenda Fricker',), ('Alison Whelan',), ('Kirsten Sheridan',)"
Kyle Newman,"('Dan Fogler',), ('Jay Baruchel',), ('Kristen Bell',), ('Sam Huntington',)"
Roger Donaldson,"('Pierce Brosnan',), ('Luke Bracey',), ('Olga Kurylenko',), ('Bill Smitrovich',)"
Daniel Monzón,"('Luis Tosar',), ('Alberto Ammann',), ('Antonio Resines',), ('Manuel Morón',)"
John McTiernan,"('John Travolta',), ('Samuel L. Jackson',), ('Connie Nielsen',), ('Tim Daly',)"
Michael Mann,"('William Petersen',), ('Kim Greist',), ('Joan Allen',), ('Brian Cox',)"
Walter Hill,"('Arnold Schwarzenegger',), ('Jim Belushi',), ('Peter Boyle',), (""Ed O'Ross"",)"
George P. Cosmatos,"('Sylvester Stallone',), ('Brigitte Nielsen',), ('Reni Santoni',), ('Andrew Robinson',)"
Kirk Jones,"('Robert De Niro',), ('Kate Beckinsale',), ('Sam Rockwell',), ('Drew Barrymore',)"
Paul Verhoeven,"('Elizabeth Berkley',), ('Kyle MacLachlan',), ('Gina Gershon',), ('Glenn Plummer',)"
M.J. Bassett,"('Adelaide Clemens',), ('Kit Harington',), ('Sean Bean',), ('Carrie-Anne Moss',)"
Richard Lester,"('Christopher Reeve',), ('Richard Pryor',), ('Margot Kidder',), ('Jackie Cooper',)"
John Erick Dowdle,"('Perdita Weeks',), ('Ben Feldman',), ('Edwin Hodge',), ('François Civil',)"
Chuck Russell,"('Heather Langenkamp',), ('Robert Englund',), ('Craig Wasson',), ('Patricia Arquette',)"
Frank Oz,"('Nicole Kidman',), ('Bette Midler',), ('Matthew Broderick',), ('Glenn Close',)"
Wim Wenders,"('Harry Dean Stanton',), ('Nastassja Kinski',), ('Dean Stockwell',), ('Sam Berry',)"
Martin Weisz,"('Daniella Alonso',), ('Jacob Vargas',), ('Michael Bailey Smith',), ('Cécile Breccia',)"
Peter Hewitt,"('Keanu Reeves',), ('Alex Winter',), ('William Sadler',), ('Joss Ackland',)"
George A. Romero,"('Lori Cardille',), ('Terry Alexander',), ('Joseph Pilato',), ('Jarlath Conroy',)"
George Tillman Jr.,"('Scott Eastwood',), ('Britt Robertson',), ('Alan Alda',), ('Jack Huston',)"
Kirk Jones,"('Emma Thompson',), ('Colin Firth',), ('Angela Lansbury',), ('Kelly Macdonald',)"
Henry Selick,"('Paul Terry',), ('Joanna Lumley',), ('Pete Postlethwaite',), ('Simon Callow',)"
Donald Petrie,"('Macaulay Culkin',), ('Edward Herrmann',), ('John Larroquette',), ('Christine Ebersole',)"
Martin Campbell,"('Scott Glenn',), (""Chris O'Donnell"",), ('Bill Paxton',), ('Robin Tunney',)"
Michael Dowse,"('Daniel Radcliffe',), ('Zoe Kazan',), ('Megan Park',), ('Adam Driver',)"
Steve Carr,"('Eddie Murphy',), ('Jeff Garlin',), ('Anjelica Huston',), ('Steve Zahn',)"
Renny Harlin,"('Val Kilmer',), ('LL Cool J',), ('Christian Slater',), ('Eion Bailey',)"
Jonathan Kasdan,"(""Dylan O'Brien"",), ('Britt Robertson',), ('Victoria Justice',), ('James Frecheville',)"
Brian Levant,"('Charles Grodin',), ('Bonnie Hunt',), ('Dean Jones',), ('Nicholle Tom',)"
Jeffrey Nachmanoff,"('Don Cheadle',), ('Guy Pearce',), ('Archie Panjabi',), ('Saïd Taghmaoui',)"
Taylor Hackford,"('Meg Ryan',), ('Russell Crowe',), ('David Morse',), ('Pamela Reed',)"
Norman Jewison,"('Sidney Poitier',), ('Rod Steiger',), ('Warren Oates',), ('Lee Grant',)"
Kathryn Bigelow,"('Harrison Ford',), ('Sam Spruell',), ('Peter Stebbings',), ('Christian Camargo',)"
Chris Gorak,"('Emile Hirsch',), ('Olivia Thirlby',), ('Max Minghella',), ('Rachael Taylor',)"
Frank Oz,"('Rick Moranis',), ('Ellen Greene',), ('Vincent Gardenia',), ('Levi Stubbs',)"
Nicole Holofcener,"('Julia Louis-Dreyfus',), ('James Gandolfini',), ('Catherine Keener',), ('Toni Collette',)"
Tom Hanks,"('Tom Hanks',), ('Julia Roberts',), ('Sarah Mahoney',), ('Roxana Ortega',)"
Peter Cornwell,"('Virginia Madsen',), ('Martin Donovan',), ('Elias Koteas',), ('Kyle Gallner',)"
Paul King,"('Hugh Bonneville',), ('Sally Hawkins',), ('Julie Walters',), ('Jim Broadbent',)"
Thomas Bezucha,"('Dermot Mulroney',), ('Sarah Jessica Parker',), ('Claire Danes',), ('Diane Keaton',)"
Federico Fellini,"('Marcello Mastroianni',), ('Anita Ekberg',), ('Anouk Aimée',), ('Yvonne Furneaux',)"
Paul Weitz,"('Dennis Quaid',), ('Topher Grace',), ('Scarlett Johansson',), ('Marg Helgenberger',)"
David S. Ward,"('Tom Berenger',), ('Charlie Sheen',), ('Corbin Bernsen',), ('Margaret Whitton',)"
Richard Linklater,"('Ethan Hawke',), ('Trevor Jack Brooks',), ('Lorelei Linklater',), ('Wiley Wiggins',)"
Lexi Alexander,"('Ray Stevenson',), ('Dominic West',), ('Julie Benz',), ('Doug Hutchison',)"
Irwin Winkler,"('Sandra Bullock',), ('Jeremy Northam',), ('Dennis Miller',), ('Diane Baker',)"
Steve Miner,"('Jamie Lee Curtis',), ('Josh Hartnett',), ('Adam Arkin',), ('Michelle Williams',)"
Michael Radford,"('John Hurt',), ('Richard Burton',), ('Suzanna Hamilton',), ('Cyril Cusack',)"
John Moore,"('Liev Schreiber',), ('Julia Stiles',), ('Seamus Davey-Fitzpatrick',), ('David Thewlis',)"
Frank Marshall,"('Paul Walker',), ('Jason Biggs',), ('Bruce Greenwood',), ('Moon Bloodgood',)"
David Zucker,"('Trey Parker',), ('Matt Stone',), ('Dian Bachar',), ('Yasmine Bleeth',)"
Jay Russell,"('Joaquin Phoenix',), ('John Travolta',), ('Jacinda Barrett',), ('Robert Patrick',)"
Lars von Trier,"('Emily Watson',), ('Stellan Skarsgård',), ('Katrin Cartlidge',), ('Jean-Marc Barr',)"
Mathieu Kassovitz,"('Jean Reno',), ('Vincent Cassel',), ('Nadia Farès',), ('Dominique Sanda',)"
Roland Emmerich,"('Liam Hemsworth',), ('Jeff Goldblum',), ('Bill Pullman',), ('Maika Monroe',)"
Rowan Joffe,"('Nicole Kidman',), ('Colin Firth',), ('Mark Strong',), ('Anne-Marie Duff',)"
Tom McCarthy,"('Paul Giamatti',), ('Amy Ryan',), ('Jeffrey Tambor',), ('Bobby Cannavale',)"
Irvin Kershner,"('Sean Connery',), ('Kim Basinger',), ('Klaus Maria Brandauer',), ('Max von Sydow',)"
Hugh Wilson,"('Brendan Fraser',), ('Alicia Silverstone',), ('Christopher Walken',), ('Sissy Spacek',)"
Ivan Reitman,"('Bill Murray',), ('John Candy',), ('Harold Ramis',), ('Warren Oates',)"
Jacques Audiard,"('Marion Cotillard',), ('Matthias Schoenaerts',), ('Armand Verdure',), ('Céline Sallette',)"
Seth Gordon,"('Reese Witherspoon',), ('Vince Vaughn',), ('Mary Steenburgen',), ('Robert Duvall',)"
Rupert Wyatt,"('Mark Wahlberg',), ('Jessica Lange',), ('John Goodman',), ('Brie Larson',)"
John Fortenberry,"('Chris Kattan',), ('Will Ferrell',), ('Raquel Gardner',), ('Viveca Paulin',)"
Tetsuya Nomura,"('Takeshi Nozue',), ('Takahiro Sakurai',), ('Ayumi Ito',), ('Shôtarô Morikubo',)"
Shari Springer Berman,"('Robert Pulcini',), ('Scarlett Johansson',), ('Laura Linney',), ('Paul Giamatti',)"
Todd Haynes,"('Christian Bale',), ('Cate Blanchett',), ('Heath Ledger',), ('Ben Whishaw',)"
Howard Deutch,"('Keanu Reeves',), ('Gene Hackman',), ('Brooke Langton',), ('Orlando Jones',)"
James Whale,"('Colin Clive',), ('Mae Clarke',), ('Boris Karloff',), ('John Boles',)"
Danny Pang,"('Oxide Chun Pang',), ('Nicolas Cage',), ('Charlie Yeung',), ('Shahkrit Yamnarm',)"
Tamra Davis,"('Dave Chappelle',), ('Guillermo Diaz',), ('Jim Breuer',), ('Harland Williams',)"
John Erick Dowdle,"('Lake Bell',), ('Pierce Brosnan',), ('Owen Wilson',), ('Thanawut Ketsaro',)"
Rodrigo Cortés,"('Sigourney Weaver',), ('Robert De Niro',), ('Cillian Murphy',), ('Elizabeth Olsen',)"
Roger Spottiswoode,"('Tom Hanks',), ('Mare Winningham',), ('Craig T. Nelson',), ('Reginald VelJohnson',)"
William Eubank,"('Brenton Thwaites',), ('Olivia Cooke',), ('Beau Knapp',), ('Laurence Fishburne',)"
Dennie Gordon,"('Amanda Bynes',), ('Colin Firth',), ('Kelly Preston',), ('Soleil McGhee',)"
Sam Raimi,"('Liam Neeson',), ('Frances McDormand',), ('Colin Friels',), ('Larry Drake',)"
Luke Greenfield,"('Ginnifer Goodwin',), ('Kate Hudson',), ('Colin Egglesfield',), ('John Krasinski',)"
Dan Mazer,"('Robert De Niro',), ('Zac Efron',), ('Zoey Deutch',), ('Aubrey Plaza',)"
Robert Lorenz,"('Clint Eastwood',), ('Amy Adams',), ('John Goodman',), ('Justin Timberlake',)"
Cecil B. DeMille,"('Charlton Heston',), ('Yul Brynner',), ('Anne Baxter',), ('Edward G. Robinson',)"
Thomas Carter,"('Julia Stiles',), ('Sean Patrick Thomas',), ('Kerry Washington',), ('Fredro Starr',)"
Warren Beatty,"('Warren Beatty',), ('Madonna',), ('Al Pacino',), ('Charlie Korsmo',)"
Rob Minkoff,"('Ty Burrell',), ('Max Charles',), ('Stephen Colbert',), ('Leslie Mann',)"
Jamie Blanks,"('Jared Leto',), ('Alicia Witt',), ('Rebecca Gayheart',), ('Michael Rosenbaum',)"
Guillermo del Toro,"('Marisa Paredes',), ('Eduardo Noriega',), ('Federico Luppi',), ('Fernando Tielve',)"
Adrian Lyne,"('Robert Redford',), ('Demi Moore',), ('Woody Harrelson',), ('Seymour Cassel',)"
Ron Howard,"('Tom Cruise',), ('Nicole Kidman',), ('Thomas Gibson',), ('Robert Prosky',)"
Robin Hardy,"('Edward Woodward',), ('Christopher Lee',), ('Diane Cilento',), ('Britt Ekland',)"
Tommy O'Haver,"('Anne Hathaway',), ('Hugh Dancy',), ('Cary Elwes',), ('Joanna Lumley',)"
George Miller,"('Jack Nicholson',), ('Cher',), ('Susan Sarandon',), ('Michelle Pfeiffer',)"
Antony Hoffman,"('Val Kilmer',), ('Carrie-Anne Moss',), ('Tom Sizemore',), ('Benjamin Bratt',)"
Denzel Washington,"('Denzel Washington',), ('Forest Whitaker',), ('Kimberly Elise',), ('Nate Parker',)"
Ryûhei Kitamura,"('Vinnie Jones',), ('Bradley Cooper',), ('Leslie Bibb',), ('Brooke Shields',)"
Hayao Miyazaki,"('Shûichirô Moriyama',), ('Tokiko Katô',), ('Bunshi Katsura Vi',), ('Tsunehiko Kamijô',)"
Joe Roth,"('Julia Roberts',), ('John Cusack',), ('Billy Crystal',), ('Catherine Zeta-Jones',)"
Wim Wenders,"('Bruno Ganz',), ('Solveig Dommartin',), ('Otto Sander',), ('Curt Bois',)"
Rob Letterman,"('Jack Black',), ('Dylan Minnette',), ('Odeya Rush',), ('Ryan Lee',)"
Shane Black,"('Russell Crowe',), ('Ryan Gosling',), ('Angourie Rice',), ('Matt Bomer',)"
Faruk Aksoy,"('Devrim Evin',), ('Ibrahim Celikkol',), ('Dilek Serbest',), ('Cengiz Coskun',)"
David Ayer,"('Arnold Schwarzenegger',), ('Sam Worthington',), ('Terrence Howard',), ('Olivia Williams',)"
Luke Greenfield,"('Rob Schneider',), ('Colleen Haskell',), ('John C. McGinley',), ('Edward Asner',)"
Andrea Arnold,"('Katie Jarvis',), ('Michael Fassbender',), ('Kierston Wareing',), ('Rebecca Griffiths',)"
Burr Steers,"('Zac Efron',), ('Kim Basinger',), ('Charlie Tahan',), ('Amanda Crew',)"
Jon M. Chu,"('Sharni Vinson',), ('Rick Malambri',), ('Adam Sevani',), ('Alyson Stoner',)"
Gonzalo López-Gallego,"('Warren Christie',), ('Lloyd Owen',), ('Ryan Robbins',), ('Michael Kopsa',)"
Gavin Hood,"('Reese Witherspoon',), ('Jake Gyllenhaal',), ('Peter Sarsgaard',), ('Alan Arkin',)"
Terrence Malick,"('Martin Sheen',), ('Sissy Spacek',), ('Warren Oates',), ('Ramon Bieri',)"
Ole Bornedal,"('Natasha Calis',), ('Jeffrey Dean Morgan',), ('Kyra Sedgwick',), ('Madison Davenport',)"
David Koepp,"('Johnny Depp',), ('Gwyneth Paltrow',), ('Ewan McGregor',), ('Olivia Munn',)"
Timur Bekmambetov,"('Konstantin Khabenskiy',), ('Vladimir Menshov',), ('Mariya Poroshina',), ('Valeriy Zolotukhin',)"
Farhan Akhtar,"('Aamir Khan',), ('Saif Ali Khan',), ('Akshaye Khanna',), ('Preity Zinta',)"
Alister Grierson,"('Rhys Wakefield',), ('Allison Cratchley',), ('Christopher James Baker',), ('Richard Roxburgh',)"
Peter Berg,"('Billy Bob Thornton',), ('Jay Hernandez',), ('Derek Luke',), ('Lucas Black',)"
John Luessenhop,"('Chris Brown',), ('Hayden Christensen',), ('Matt Dillon',), ('Michael Ealy',)"
Leo McCarey,"('Groucho Marx',), ('Harpo Marx',), ('Chico Marx',), ('Zeppo Marx',)"
Lewis Milestone,"('Lew Ayres',), ('Louis Wolheim',), ('John Wray',), ('Arnold Lucy',)"
McG,"('Matthew McConaughey',), ('Matthew Fox',), ('Anthony Mackie',), ('David Strathairn',)"
Drake Doremus,"('Felicity Jones',), ('Anton Yelchin',), ('Jennifer Lawrence',), ('Charlie Bewley',)"
Francis Ford Coppola,"('Robin Williams',), ('Diane Lane',), ('Brian Kerwin',), ('Jennifer Lopez',)"
